id,oid,name,code,price,sale-price,orderable,ship-weight,taxable
21,afsixbrdr,Dessy Group: After Six Bridesmaid Dresses,NULL,"","",No,"",Yes
22,afsixbrdrst,After Six Bridesmaid Dress Style 6782,A6782,265.00 ,225.00 ,Yes,"",Yes
23,afsixbrdrst1,After Six Bridesmaid Dress Style ,D6819,248.00 ,211.00 ,Yes,"",Yes
24,afsixbrdrst11,After Six Bridesmaid Dress Style 1524,S1524,187.00 ,159.00 ,Yes,"",Yes
25,afsixbrdrst6,After Six Bridesmaid Dress Style 6817,A6817,248.00 ,211.00 ,Yes,"",Yes
26,afsixbrdrst61,After Six Bridesmaid Dress Style 6818,D6818,248.00 ,211.00 ,Yes,"",Yes
27,afsixbrdrst610,After Six Bridesmaid Dress Style 6781,A6781,223.00 ,190.00 ,Yes,"",Yes
28,afsixbrdrst611,After Six Bridesmaid Dress Style  6826,S6826,248.00 ,211.00 ,Yes,"",Yes
29,afsixbrdrst612,After Six Bridesmaid Dress Style  6828,S6828,231.00 ,196.00 ,Yes,"",Yes
30,afsixbrdrst613,After Six Bridesmaid Dress Style 6829,S6829,231.00 ,196.00 ,Yes,"",Yes
31,afsixbrdrst614,After Six Bridesmaid Dress Style 6760,A6760,263.00 ,224.00 ,Yes,"",Yes
32,afsixbrdrst615,After Six Bridesmaid Dress Style 6830,A6830,231.00 ,196.00 ,Yes,"",Yes
33,afsixbrdrst62,After Six Bridesmaid Dress Style 6820,D6820,231.00 ,196.00 ,Yes,"",Yes
34,afsixbrdrst621,After Six Bridesmaid Dress Style 6777,A6777,257.00 ,218.00 ,Yes,"",Yes
35,afsixbrdrst622,After Six Bridesmaid Dress Style 6776,A6776,250.00 ,213.00 ,Yes,"",Yes
36,afsixbrdrst623,After Six Bridesmaid Dress Style 6775,A6775,250.00 ,213.00 ,Yes,"",Yes
37,afsixbrdrst63,After Six Bridesmaid Dress Style 6821,D6821,231.00 ,196.00 ,Yes,"",Yes
38,afsixbrdrst633,After Six Bridesmaid Dress Style 6769,A6769,263.00 ,224.00 ,Yes,"",Yes
39,afsixbrdrst636,After Six Bridesmaid Dress Style 6808,A6808,244.00 ,208.00 ,Yes,"",Yes
40,afsixbrdrst639,After Six Bridesmaid Dress Style 6809,A6809,248.00 ,211.00 ,Yes,"",Yes
41,afsixbrdrst64,After Six Bridesmaid Dress Style 6758,A6758,261.00 ,222.00 ,Yes,"",Yes
42,afsixbrdrst640,After Six Bridesmaid Dress Style 6810,A6810,231.00 ,197.00 ,Yes,"",Yes
43,afsixbrdrst65,After Six Bridesmaid Dress Style 6822,D6822,242.00 ,206.00 ,Yes,"",Yes
44,afsixbrdrst650,After Six Bridesmaid Dress Style 6766,A6766,221.00 ,188.00 ,Yes,"",Yes
45,afsixbrdrst651,After Six Bridesmaid Dress Style 6766P,A6766P,263.00 ,224.00 ,Yes,"",Yes
46,afsixbrdrst66,After Six Bridesmaid Dress Style 6823,D6823,250.00 ,213.00 ,Yes,"",Yes
47,afsixbrdrst67,After Six Bridesmaid Dress Style 6803,A6803,240.00 ,204.00 ,Yes,"",Yes
48,afsixbrdrst68,After Six Bridesmaid Dress Style  6824,S6824,250.00 ,213.00 ,Yes,"",Yes
49,afsixbrdrst69,After Six Bridesmaid Dress Style  6825,S6825,252.00 ,214.00 ,Yes,"",Yes
50,afsixbrdrst8,After Six Bridesmaid Dress Style 6784,A6784,271.00 ,231.00 ,Yes,"",Yes
51,afsixbrdrstb,After Six Bridesmaid Dress Style <br>1525,S1525,187.00 ,159.00 ,Yes,"",Yes
52,afsixbrdrstb1,After Six Bridesmaid Dress Style <br> 1526,S1526,193.00 ,164.00 ,Yes,"",Yes
55,afsixmadrstm1,After Six Maternity Dress Style M424,A6M424,284.00 ,241.00 ,Yes,"",Yes
57,alsubrdr,Dessy Group: Alfred Sung Bridesmaid Dresses,NULL,"","",No,"",Yes
58,alsubrdrstd2,Alfred Sung Bridesmaid Dress Style D734,d734,231.00 ,197.00 ,Yes,"",Yes
59,alsubrdrstd64,Alfred Sung Bridesmaid Dress Style D697,D697,208.00 ,177.00 ,Yes,"",Yes
60,alsubrdrstd66,Alfred Sung Bridesmaid Dress Style D699,D699,242.00 ,206.00 ,Yes,"",Yes
61,alsubrdrstd7,Alfred Sung Bridesmaid Dress Style D707,ASD707,250.00 ,213.00 ,Yes,"",Yes
62,alsubrdrstd71,Alfred Sung Bridesmaid Dress Style D772,D772,242.00 ,206.00 ,Yes,"",Yes
63,alsubrdrstd710,Alfred Sung Bridesmaid Dress Style D784,D784,208.00 ,177.00 ,Yes,"",Yes
64,alsubrdrstd711,Alfred Sung Bridesmaid Dress Style D783,D783,200.00 ,170.00 ,Yes,"",Yes
65,alsubrdrstd712,Alfred Sung Bridesmaid Dress Style D787,D787,244.00 ,207.00 ,Yes,"",Yes
66,alsubrdrstd713,Alfred Sung Bridesmaid Dress Style D789,D789,208.00 ,177.00 ,Yes,"",Yes
67,alsubrdrstd714,Alfred Sung Bridesmaid Dress Style D790,D790,208.00 ,177.00 ,Yes,"",Yes
68,alsubrdrstd72,Alfred Sung Bridesmaid Dress Style D773,AD773,208.00 ,178.00 ,Yes,"",Yes
69,alsubrdrstd727,Alfred Sung Bridesmaid Dress Style D746,D746,221.00 ,188.00 ,Yes,"",Yes
70,alsubrdrstd73,Alfred Sung Bridesmaid Dress Style D774,D774,236.00 ,201.00 ,Yes,"",Yes
